product,source,value,country,indicator
 -   ,CH,0.223863992027216,DK,Blue Water Consumption
Food products,CH,0.0219520950157245,DK,Blue Water Consumption
Hotels and restaurants,CH,0.0030557834196735,DK,Blue Water Consumption
Education and health,CH,0.0409585234391917,DK,Blue Water Consumption
Food waste,CH,0.000492692831618128,DK,Blue Water Consumption
Agriculture,TR,1.99383830957998,DK,Blue Water Consumption
 -   ,TR,5.27811354316447,DK,Blue Water Consumption
Food products,TR,3.51064763029948,DK,Blue Water Consumption
Hotels and restaurants,TR,0.153899784684693,DK,Blue Water Consumption
Education and health,TR,1.04068543892538,DK,Blue Water Consumption
Food waste,TR,0.00672666423808885,DK,Blue Water Consumption
Agriculture,TW,0.00433511480025722,DK,Blue Water Consumption
 -   ,TW,0.18054603846624,DK,Blue Water Consumption
Food products,TW,0.0131627777227921,DK,Blue Water Consumption
Hotels and restaurants,TW,0.000938404609085993,DK,Blue Water Consumption
Education and health,TW,0.0113100354404982,DK,Blue Water Consumption
Food waste,TW,0.000128884349218592,DK,Blue Water Consumption
Agriculture,NO,0.267271822987534,DK,Blue Water Consumption
 -   ,NO,2.73706703507538,DK,Blue Water Consumption
Food products,NO,1.29533497324858,DK,Blue Water Consumption
Hotels and restaurants,NO,0.0546513521729507,DK,Blue Water Consumption
Education and health,NO,0.147954798254849,DK,Blue Water Consumption
Food waste,NO,0.00169038627313095,DK,Blue Water Consumption
Agriculture,ID,0.0904526743457977,DK,Blue Water Consumption
 -   ,ID,0.475470011006963,DK,Blue Water Consumption
Food products,ID,1.37126468090126,DK,Blue Water Consumption
Hotels and restaurants,ID,0.104661892317215,DK,Blue Water Consumption
Education and health,ID,0.197374140939057,DK,Blue Water Consumption
Food waste,ID,0.000780382143156749,DK,Blue Water Consumption
Agriculture,ZA,0.567680030648962,DK,Blue Water Consumption
 -   ,ZA,0.87167877890208,DK,Blue Water Consumption
Food products,ZA,0.829977175907069,DK,Blue Water Consumption
Hotels and restaurants,ZA,0.0305752794242779,DK,Blue Water Consumption
Education and health,ZA,0.161443914313849,DK,Blue Water Consumption
Food waste,ZA,0.00145643435405288,DK,Blue Water Consumption
Agriculture,WA,53.8400745452761,DK,Blue Water Consumption
 -   ,WA,104.339745786738,DK,Blue Water Consumption
Food products,WA,50.6467983107283,DK,Blue Water Consumption
Hotels and restaurants,WA,4.41634670675894,DK,Blue Water Consumption
Education and health,WA,27.8654921259054,DK,Blue Water Consumption
Food waste,WA,0.238648645395223,DK,Blue Water Consumption
Agriculture,WL,4.01202777155692,DK,Blue Water Consumption
 -   ,WL,4.56636772332613,DK,Blue Water Consumption
Food products,WL,17.6230396601737,DK,Blue Water Consumption
Hotels and restaurants,WL,0.476623007090149,DK,Blue Water Consumption
Education and health,WL,1.41515321195163,DK,Blue Water Consumption
Food waste,WL,0.00894876682144056,DK,Blue Water Consumption
Agriculture,WE,0.182660803922983,DK,Blue Water Consumption
 -   ,WE,3.17606085793428,DK,Blue Water Consumption
Food products,WE,2.44313616323024,DK,Blue Water Consumption
Hotels and restaurants,WE,0.0895955555404259,DK,Blue Water Consumption
Education and health,WE,0.479161388932898,DK,Blue Water Consumption
Food waste,WE,0.00372950299072125,DK,Blue Water Consumption
Agriculture,WF,11.1587407930259,DK,Blue Water Consumption
 -   ,WF,27.4873870675271,DK,Blue Water Consumption
Food products,WF,12.825738212512,DK,Blue Water Consumption
Hotels and restaurants,WF,0.873729672243125,DK,Blue Water Consumption
Education and health,WF,7.58732033804042,DK,Blue Water Consumption
Food waste,WF,0.0541582368790298,DK,Blue Water Consumption
Agriculture,WM,31.580758196292,DK,Blue Water Consumption
 -   ,WM,34.8991210499744,DK,Blue Water Consumption
Food products,WM,25.2129008412137,DK,Blue Water Consumption
Hotels and restaurants,WM,1.15123285644369,DK,Blue Water Consumption
Education and health,WM,8.39341410359777,DK,Blue Water Consumption
Food waste,WM,0.0603179396985479,DK,Blue Water Consumption
Agriculture,AT,1110734.15297045,DK,Global Warming Potential
 -   ,AT,72608644.2632119,DK,Global Warming Potential
Food products,AT,15519197.6102415,DK,Global Warming Potential
Hotels and restaurants,AT,1458724.22709504,DK,Global Warming Potential
Education and health,AT,10000092.6377151,DK,Global Warming Potential
Food waste,AT,192837.59892161,DK,Global Warming Potential
Agriculture,BE,5342389.13817102,DK,Global Warming Potential
 -   ,BE,323333269.315356,DK,Global Warming Potential
Food products,BE,86780776.0567228,DK,Global Warming Potential
Hotels and restaurants,BE,5272464.19286772,DK,Global Warming Potential
Education and health,BE,74699740.8794481,DK,Global Warming Potential
Food waste,BE,1387186.48470921,DK,Global Warming Potential
Agriculture,BG,627061.304122796,DK,Global Warming Potential
 -   ,BG,26565616.4577096,DK,Global Warming Potential
Food products,BG,4149681.29099148,DK,Global Warming Potential
Hotels and restaurants,BG,419302.090233308,DK,Global Warming Potential
Education and health,BG,5644348.25141809,DK,Global Warming Potential
Food waste,BG,130264.704487204,DK,Global Warming Potential
Agriculture,CY,436236.769733498,DK,Global Warming Potential
 -   ,CY,46772415.8032698,DK,Global Warming Potential
Food products,CY,8403835.7956102,DK,Global Warming Potential
Hotels and restaurants,CY,879816.396303617,DK,Global Warming Potential
Education and health,CY,17421063.8616976,DK,Global Warming Potential
Food waste,CY,265495.151143769,DK,Global Warming Potential
Agriculture,CZ,1623421.92473456,DK,Global Warming Potential
 -   ,CZ,433332922.448267,DK,Global Warming Potential
Food products,CZ,21447426.7554982,DK,Global Warming Potential
Hotels and restaurants,CZ,1546164.30405416,DK,Global Warming Potential
Education and health,CZ,14464093.8136512,DK,Global Warming Potential
Food waste,CZ,315670.082543894,DK,Global Warming Potential
Agriculture,DE,70243084.6139146,DK,Global Warming Potential
 -   ,DE,2275363294.98824,DK,Global Warming Potential
Food products,DE,681578443.249475,DK,Global Warming Potential
Hotels and restaurants,DE,42510053.3123041,DK,Global Warming Potential
Education and health,DE,410430359.425164,DK,Global Warming Potential
Food waste,DE,3752575.89227445,DK,Global Warming Potential
Agriculture,DK,1431803509.8819,DK,Global Warming Potential
 -   ,DK,16189379159.6738,DK,Global Warming Potential
Food products,DK,3590521643.87132,DK,Global Warming Potential
Hotels and restaurants,DK,557355581.028078,DK,Global Warming Potential
Education and health,DK,5777583318.87311,DK,Global Warming Potential
Food waste,DK,112411187.564008,DK,Global Warming Potential
Agriculture,EE,3051428.00436805,DK,Global Warming Potential
 -   ,EE,133739466.225563,DK,Global Warming Potential
Food products,EE,12839765.4080912,DK,Global Warming Potential
Hotels and restaurants,EE,1240951.73233483,DK,Global Warming Potential
Education and health,EE,11608023.1002826,DK,Global Warming Potential
Food waste,EE,199385.96995427,DK,Global Warming Potential
Agriculture,ES,16560629.4592071,DK,Global Warming Potential
 -   ,ES,256792549.593877,DK,Global Warming Potential
Food products,ES,44842792.1470707,DK,Global Warming Potential
Hotels and restaurants,ES,3734018.17352372,DK,Global Warming Potential
Education and health,ES,44566726.7548529,DK,Global Warming Potential
Food waste,ES,634429.938738757,DK,Global Warming Potential
Agriculture,FI,3399156.559228,DK,Global Warming Potential
 -   ,FI,111514379.658607,DK,Global Warming Potential
Food products,FI,14056724.9198601,DK,Global Warming Potential
Hotels and restaurants,FI,1131250.31309032,DK,Global Warming Potential
Education and health,FI,11900873.9501626,DK,Global Warming Potential
Food waste,FI,286512.670726658,DK,Global Warming Potential
Agriculture,FR,11204742.0557817,DK,Global Warming Potential
 -   ,FR,398857542.166178,DK,Global Warming Potential
Food products,FR,113159426.362861,DK,Global Warming Potential
Hotels and restaurants,FR,8120205.10081466,DK,Global Warming Potential
Education and health,FR,83729510.7625251,DK,Global Warming Potential
Food waste,FR,906498.608220583,DK,Global Warming Potential
Agriculture,GR,23767023.7739995,DK,Global Warming Potential
 -   ,GR,306006055.174124,DK,Global Warming Potential
Food products,GR,50955554.8836653,DK,Global Warming Potential
Hotels and restaurants,GR,5310719.74779943,DK,Global Warming Potential
Education and health,GR,103058573.768259,DK,Global Warming Potential
Food waste,GR,885197.137164486,DK,Global Warming Potential
Agriculture,HR,476012.776046421,DK,Global Warming Potential
 -   ,HR,50158408.7444803,DK,Global Warming Potential
Food products,HR,4964859.30804396,DK,Global Warming Potential
Hotels and restaurants,HR,860659.267103091,DK,Global Warming Potential
Education and health,HR,15047923.7025492,DK,Global Warming Potential
Food waste,HR,418813.315531155,DK,Global Warming Potential
Agriculture,HU,1366990.81370223,DK,Global Warming Potential
 -   ,HU,113222671.692958,DK,Global Warming Potential
Food products,HU,14810073.6684911,DK,Global Warming Potential
Hotels and restaurants,HU,1596550.06965327,DK,Global Warming Potential
Education and health,HU,18389300.738206,DK,Global Warming Potential
Food waste,HU,489480.675536762,DK,Global Warming Potential
Agriculture,IE,2669874.94614062,DK,Global Warming Potential
 -   ,IE,156612364.531388,DK,Global Warming Potential
Food products,IE,155248778.540675,DK,Global Warming Potential
Hotels and restaurants,IE,15419602.61798,DK,Global Warming Potential
Education and health,IE,39230344.0456503,DK,Global Warming Potential
Food waste,IE,573562.224849832,DK,Global Warming Potential
Agriculture,IT,12271193.2374226,DK,Global Warming Potential
 -   ,IT,394322021.931214,DK,Global Warming Potential
Food products,IT,88357650.8152778,DK,Global Warming Potential
Hotels and restaurants,IT,6462352.39495936,DK,Global Warming Potential
Education and health,IT,59366146.6613091,DK,Global Warming Potential
Food waste,IT,787022.503450049,DK,Global Warming Potential
Agriculture,LT,4540461.20216186,DK,Global Warming Potential
 -   ,LT,39613871.1427448,DK,Global Warming Potential
Food products,LT,15334083.945641,DK,Global Warming Potential
Hotels and restaurants,LT,1609396.98962484,DK,Global Warming Potential
Education and health,LT,5387434.56072122,DK,Global Warming Potential
Food waste,LT,209733.12435924,DK,Global Warming Potential
Agriculture,LU,351456.918882283,DK,Global Warming Potential
 -   ,LU,48015872.2324991,DK,Global Warming Potential
Food products,LU,4475120.63784452,DK,Global Warming Potential
Hotels and restaurants,LU,689884.284698205,DK,Global Warming Potential
Education and health,LU,12375936.7193694,DK,Global Warming Potential
Food waste,LU,333160.399519013,DK,Global Warming Potential
Agriculture,LV,2384986.23606286,DK,Global Warming Potential
 -   ,LV,73352907.4201221,DK,Global Warming Potential
Food products,LV,13710244.9693537,DK,Global Warming Potential
Hotels and restaurants,LV,754122.456808951,DK,Global Warming Potential
Education and health,LV,6898459.86397242,DK,Global Warming Potential
Food waste,LV,131681.410488583,DK,Global Warming Potential
Agriculture,MT,108762.215887144,DK,Global Warming Potential
 -   ,MT,10935400.655102,DK,Global Warming Potential
Food products,MT,443513.568521182,DK,Global Warming Potential
Hotels and restaurants,MT,120091.008962502,DK,Global Warming Potential
Education and health,MT,2654217.86630255,DK,Global Warming Potential
Food waste,MT,137022.931142085,DK,Global Warming Potential
Agriculture,NL,43107676.5942871,DK,Global Warming Potential
 -   ,NL,445459262.274323,DK,Global Warming Potential
Food products,NL,150351245.407198,DK,Global Warming Potential
Hotels and restaurants,NL,8914935.1916766,DK,Global Warming Potential
Education and health,NL,90637517.4963408,DK,Global Warming Potential
Food waste,NL,1332301.43474792,DK,Global Warming Potential
Agriculture,PL,14408442.479221,DK,Global Warming Potential
 -   ,PL,459235575.128648,DK,Global Warming Potential
Food products,PL,132843801.298912,DK,Global Warming Potential
Hotels and restaurants,PL,7544250.911945,DK,Global Warming Potential
Education and health,PL,36075429.3601957,DK,Global Warming Potential
Food waste,PL,942385.426254047,DK,Global Warming Potential
Agriculture,PT,1580816.71863391,DK,Global Warming Potential
 -   ,PT,92721126.5941131,DK,Global Warming Potential
Food products,PT,13306944.7905971,DK,Global Warming Potential
Hotels and restaurants,PT,1330602.8959497,DK,Global Warming Potential
Education and health,PT,16490695.5617749,DK,Global Warming Potential
Food waste,PT,395974.362483793,DK,Global Warming Potential
Agriculture,RO,2353192.73287822,DK,Global Warming Potential
 -   ,RO,69763419.5660335,DK,Global Warming Potential
Food products,RO,8820495.22700113,DK,Global Warming Potential
Hotels and restaurants,RO,550270.620133246,DK,Global Warming Potential
Education and health,RO,7942729.07307089,DK,Global Warming Potential
Food waste,RO,150574.921450889,DK,Global Warming Potential
Agriculture,SE,44469354.2943284,DK,Global Warming Potential
 -   ,SE,427566147.461888,DK,Global Warming Potential
Food products,SE,100053729.232332,DK,Global Warming Potential
Hotels and restaurants,SE,4733378.76454577,DK,Global Warming Potential
Education and health,SE,41403437.5321046,DK,Global Warming Potential
Food waste,SE,1034020.00802312,DK,Global Warming Potential
Agriculture,SI,201687.595147683,DK,Global Warming Potential
 -   ,SI,32735451.9965722,DK,Global Warming Potential
Food products,SI,3608717.66947651,DK,Global Warming Potential
Hotels and restaurants,SI,385706.372096837,DK,Global Warming Potential
Education and health,SI,5621329.98639796,DK,Global Warming Potential
Food waste,SI,64636.602414003,DK,Global Warming Potential
Agriculture,SK,860796.362968371,DK,Global Warming Potential
 -   ,SK,53170703.7058501,DK,Global Warming Potential
Food products,SK,7349123.27632237,DK,Global Warming Potential
Hotels and restaurants,SK,589161.945041497,DK,Global Warming Potential
Education and health,SK,7096895.03633531,DK,Global Warming Potential
Food waste,SK,284334.039175273,DK,Global Warming Potential
Agriculture,GB,13224713.5692638,DK,Global Warming Potential
 -   ,GB,779060088.447286,DK,Global Warming Potential
Food products,GB,141117107.985055,DK,Global Warming Potential
Hotels and restaurants,GB,11509799.3143516,DK,Global Warming Potential
Education and health,GB,165565559.743276,DK,Global Warming Potential
Food waste,GB,1593999.23668718,DK,Global Warming Potential
Agriculture,US,14572427.6628823,DK,Global Warming Potential
 -   ,US,863480639.506575,DK,Global Warming Potential
Food products,US,166048828.654636,DK,Global Warming Potential
Hotels and restaurants,US,11299154.2023583,DK,Global Warming Potential
Education and health,US,139993305.92801,DK,Global Warming Potential
Food waste,US,2302855.99706356,DK,Global Warming Potential
Agriculture,JP,4074597.33868563,DK,Global Warming Potential
 -   ,JP,397388054.146214,DK,Global Warming Potential
Food products,JP,40133817.3906348,DK,Global Warming Potential
Hotels and restaurants,JP,4841038.21072908,DK,Global Warming Potential
Education and health,JP,106397991.498507,DK,Global Warming Potential
Food waste,JP,1224472.49132397,DK,Global Warming Potential
Agriculture,CN,22995335.1962088,DK,Global Warming Potential
 -   ,CN,3237861363.1842,DK,Global Warming Potential
Food products,CN,171656313.023491,DK,Global Warming Potential
Hotels and restaurants,CN,15632918.2590722,DK,Global Warming Potential
Education and health,CN,281205054.396165,DK,Global Warming Potential
Food waste,CN,3195873.18679319,DK,Global Warming Potential
Agriculture,CA,3588256.62166161,DK,Global Warming Potential
 -   ,CA,269700887.167886,DK,Global Warming Potential
Food products,CA,53718598.438982,DK,Global Warming Potential
Hotels and restaurants,CA,4522601.59037891,DK,Global Warming Potential
Education and health,CA,60468679.1412696,DK,Global Warming Potential
Food waste,CA,651125.251751202,DK,Global Warming Potential
Agriculture,KR,2401577.37777189,DK,Global Warming Potential
 -   ,KR,343193381.829308,DK,Global Warming Potential
Food products,KR,25991357.0035503,DK,Global Warming Potential
Hotels and restaurants,KR,3206282.30597392,DK,Global Warming Potential
Education and health,KR,65234771.376675,DK,Global Warming Potential
Food waste,KR,560973.549743162,DK,Global Warming Potential
Agriculture,BR,20315821.5444734,DK,Global Warming Potential
 -   ,BR,246423276.228494,DK,Global Warming Potential
Food products,BR,61627420.7180991,DK,Global Warming Potential
Hotels and restaurants,BR,4305571.1113014,DK,Global Warming Potential
Education and health,BR,32540125.5863563,DK,Global Warming Potential
Food waste,BR,317637.475698943,DK,Global Warming Potential
Agriculture,IN,24557804.4863347,DK,Global Warming Potential
 -   ,IN,1128708052.94081,DK,Global Warming Potential
Food products,IN,84734006.0483056,DK,Global Warming Potential
Hotels and restaurants,IN,10264588.6927294,DK,Global Warming Potential
Education and health,IN,148105263.480803,DK,Global Warming Potential
Food waste,IN,1308550.11464574,DK,Global Warming Potential
Agriculture,MX,4512522.6503888,DK,Global Warming Potential
 -   ,MX,80459625.7520636,DK,Global Warming Potential
Food products,MX,15222515.5080386,DK,Global Warming Potential
Hotels and restaurants,MX,849011.870252943,DK,Global Warming Potential
Education and health,MX,12311734.7404686,DK,Global Warming Potential
Food waste,MX,225147.153928633,DK,Global Warming Potential
Agriculture,RU,38922311.8999712,DK,Global Warming Potential
 -   ,RU,2201901665.9843,DK,Global Warming Potential
Food products,RU,233316702.221071,DK,Global Warming Potential
Hotels and restaurants,RU,23495583.6744585,DK,Global Warming Potential
Education and health,RU,246342439.481243,DK,Global Warming Potential
Food waste,RU,3220737.22820549,DK,Global Warming Potential
Agriculture,AU,2980240.06527233,DK,Global Warming Potential
 -   ,AU,224803556.541424,DK,Global Warming Potential
Food products,AU,26059856.7460609,DK,Global Warming Potential
Hotels and restaurants,AU,4107573.40962626,DK,Global Warming Potential
Education and health,AU,43485727.1797619,DK,Global Warming Potential
Food waste,AU,928701.240615862,DK,Global Warming Potential
Agriculture,CH,581515.204040566,DK,Global Warming Potential
 -   ,CH,78142433.7748615,DK,Global Warming Potential
Food products,CH,8616754.97646629,DK,Global Warming Potential
Hotels and restaurants,CH,1138139.68956823,DK,Global Warming Potential
Education and health,CH,20338373.0214641,DK,Global Warming Potential
Food waste,CH,335527.648946814,DK,Global Warming Potential
Agriculture,TR,2744239.98790301,DK,Global Warming Potential
 -   ,TR,150390998.084129,DK,Global Warming Potential
Food products,TR,13905778.7491923,DK,Global Warming Potential
Hotels and restaurants,TR,1357966.92380027,DK,Global Warming Potential
Education and health,TR,18805303.8213715,DK,Global Warming Potential
Food waste,TR,251459.049406694,DK,Global Warming Potential
Agriculture,TW,1707608.37435031,DK,Global Warming Potential
 -   ,TW,264462405.667411,DK,Global Warming Potential
Food products,TW,13979761.777113,DK,Global Warming Potential
Hotels and restaurants,TW,1525827.42774867,DK,Global Warming Potential
Education and health,TW,31133723.7372057,DK,Global Warming Potential
Food waste,TW,385867.786755725,DK,Global Warming Potential
Agriculture,NO,22885612.8641975,DK,Global Warming Potential
 -   ,NO,628301361.725044,DK,Global Warming Potential
Food products,NO,107496083.587917,DK,Global Warming Potential
Hotels and restaurants,NO,9996165.93808047,DK,Global Warming Potential
Education and health,NO,71052055.034209,DK,Global Warming Potential
Food waste,NO,1046439.69032109,DK,Global Warming Potential
Agriculture,ID,3883114.4980195,DK,Global Warming Potential
 -   ,ID,202253438.651909,DK,Global Warming Potential
Food products,ID,22837206.5892333,DK,Global Warming Potential
Hotels and restaurants,ID,1497486.50546602,DK,Global Warming Potential
Education and health,ID,24701263.4035328,DK,Global Warming Potential
Food waste,ID,280942.174923454,DK,Global Warming Potential
Agriculture,ZA,10072589.0126416,DK,Global Warming Potential
 -   ,ZA,208841616.853238,DK,Global Warming Potential
Food products,ZA,33039175.4907544,DK,Global Warming Potential
Hotels and restaurants,ZA,2342637.46724232,DK,Global Warming Potential
Education and health,ZA,26306146.8988735,DK,Global Warming Potential
Food waste,ZA,270757.485652111,DK,Global Warming Potential
Agriculture,WA,98744735.0249978,DK,Global Warming Potential
 -   ,WA,3479155003.75836,DK,Global Warming Potential
Food products,WA,526536330.869923,DK,Global Warming Potential
Hotels and restaurants,WA,60937115.2640191,DK,Global Warming Potential
Education and health,WA,1005812560.34198,DK,Global Warming Potential
Food waste,WA,8836711.83725928,DK,Global Warming Potential
Agriculture,WL,21985110.2409498,DK,Global Warming Potential
 -   ,WL,406332886.887201,DK,Global Warming Potential
Food products,WL,285072251.362661,DK,Global Warming Potential
Hotels and restaurants,WL,12638894.4420878,DK,Global Warming Potential
Education and health,WL,92203790.8879742,DK,Global Warming Potential
Food waste,WL,869170.129032727,DK,Global Warming Potential
Agriculture,WE,6440523.43711427,DK,Global Warming Potential
 -   ,WE,408399771.54763,DK,Global Warming Potential
Food products,WE,67925114.983213,DK,Global Warming Potential
Hotels and restaurants,WE,4289674.44214693,DK,Global Warming Potential
Education and health,WE,55580021.0961496,DK,Global Warming Potential
Food waste,WE,608451.893747595,DK,Global Warming Potential
Agriculture,WF,42087561.4083248,DK,Global Warming Potential
 -   ,WF,881914032.224779,DK,Global Warming Potential
Food products,WF,149387016.671376,DK,Global Warming Potential
Hotels and restaurants,WF,14424531.7530313,DK,Global Warming Potential
Education and health,WF,201679200.781673,DK,Global Warming Potential
Food waste,WF,2125183.04212191,DK,Global Warming Potential
Agriculture,WM,61559428.5547615,DK,Global Warming Potential
 -   ,WM,3410162501.80496,DK,Global Warming Potential
Food products,WM,298367307.973995,DK,Global Warming Potential
Hotels and restaurants,WM,38138334.4950778,DK,Global Warming Potential
Education and health,WM,677926265.676474,DK,Global Warming Potential
Food waste,WM,6274339.49056653,DK,Global Warming Potential
Agriculture,AT,2.48999566389878,FI,Cropland
 -   ,AT,4.08098757214426,FI,Cropland
Food products,AT,10.8575084148495,FI,Cropland
Hotels and restaurants,AT,1.96752242007007,FI,Cropland
Education and health,AT,1.75375556720625,FI,Cropland
Food waste,AT,0.00188906275042141,FI,Cropland
Agriculture,BE,7.73535096496083,FI,Cropland
 -   ,BE,3.54135594990904,FI,Cropland
Food products,BE,15.0450833261222,FI,Cropland
Hotels and restaurants,BE,2.13507204952332,FI,Cropland
Education and health,BE,1.74756524049888,FI,Cropland
Food waste,BE,0.00426450767710313,FI,Cropland
Agriculture,BG,48.9450969217987,FI,Cropland
 -   ,BG,18.2633538331321,FI,Cropland
Food products,BG,50.5413314623426,FI,Cropland
Hotels and restaurants,BG,8.09639390314611,FI,Cropland
Education and health,BG,7.86426786689574,FI,Cropland
Food waste,BG,0.0243583210213032,FI,Cropland
Agriculture,CY,0.252136319006036,FI,Cropland
 -   ,CY,0.531805697583115,FI,Cropland
Food products,CY,1.17255181400829,FI,Cropland
Hotels and restaurants,CY,0.335584997719068,FI,Cropland
Education and health,CY,0.287521002390507,FI,Cropland
Food waste,CY,0.00238866759645987,FI,Cropland
Agriculture,CZ,1.0950791673237,FI,Cropland
 -   ,CZ,26.2310303450718,FI,Cropland
Food products,CZ,30.6372881321469,FI,Cropland
Hotels and restaurants,CZ,12.7295150275807,FI,Cropland
Education and health,CZ,11.2998453486761,FI,Cropland
Food waste,CZ,0.0314052619972945,FI,Cropland
Agriculture,DE,48.3954365523237,FI,Cropland
 -   ,DE,33.90011770983,FI,Cropland
Food products,DE,161.294332345949,FI,Cropland
Hotels and restaurants,DE,14.3325206810803,FI,Cropland
Education and health,DE,13.202114917841,FI,Cropland
Food waste,DE,0.0272959351908923,FI,Cropland
Agriculture,DK,10.8219514559393,FI,Cropland
 -   ,DK,17.4318211901019,FI,Cropland
Food products,DK,133.836559868153,FI,Cropland
Hotels and restaurants,DK,10.8283534882567,FI,Cropland
Education and health,DK,9.22840511088768,FI,Cropland
Food waste,DK,0.00594720427865989,FI,Cropland
Agriculture,EE,213.026635773279,FI,Cropland
 -   ,EE,37.0510380800613,FI,Cropland
Food products,EE,277.180623230398,FI,Cropland
Hotels and restaurants,EE,30.4863747805288,FI,Cropland
Education and health,EE,24.1645938193671,FI,Cropland
Food waste,EE,0.0074702938628934,FI,Cropland
Agriculture,ES,150.547875325253,FI,Cropland
 -   ,ES,37.0108376842948,FI,Cropland
Food products,ES,90.9682331518703,FI,Cropland
Hotels and restaurants,ES,19.1963097710906,FI,Cropland
Education and health,ES,16.6761239171667,FI,Cropland
Food waste,ES,0.0246491967662416,FI,Cropland
Agriculture,FI,4178.95645277475,FI,Cropland
 -   ,FI,1653.94409211111,FI,Cropland
Food products,FI,7703.33520282477,FI,Cropland
Hotels and restaurants,FI,1078.58692105246,FI,Cropland
Education and health,FI,878.944097273939,FI,Cropland
Food waste,FI,0.126839110724374,FI,Cropland
Agriculture,FR,12.7363765687487,FI,Cropland
 -   ,FR,44.9483996284613,FI,Cropland
Food products,FR,121.996737686363,FI,Cropland
Hotels and restaurants,FR,18.1107291440011,FI,Cropland
Education and health,FR,16.882824063827,FI,Cropland
Food waste,FR,0.0926293913412645,FI,Cropland
Agriculture,GR,47.6728870032614,FI,Cropland
 -   ,GR,20.4131307453202,FI,Cropland
Food products,GR,66.5787145252265,FI,Cropland
Hotels and restaurants,GR,8.94003690838194,FI,Cropland
Education and health,GR,8.66025909882598,FI,Cropland
Food waste,GR,0.0116117389919382,FI,Cropland
Agriculture,HR,0.124640511369925,FI,Cropland
 -   ,HR,3.53192263287089,FI,Cropland
Food products,HR,3.10695129727925,FI,Cropland
Hotels and restaurants,HR,1.18310863697422,FI,Cropland
Education and health,HR,1.2162320078126,FI,Cropland
Food waste,HR,0.00292290357193124,FI,Cropland
Agriculture,HU,9.4791281877547,FI,Cropland
 -   ,HU,23.9729516004505,FI,Cropland
Food products,HU,41.4836142618732,FI,Cropland
Hotels and restaurants,HU,12.5732161596956,FI,Cropland
Education and health,HU,11.0400572190326,FI,Cropland
Food waste,HU,0.0143968889913768,FI,Cropland
Agriculture,IE,0.20026736746545,FI,Cropland
 -   ,IE,3.00323179443669,FI,Cropland
Food products,IE,5.63772427452804,FI,Cropland
Hotels and restaurants,IE,1.53294559035199,FI,Cropland
Education and health,IE,1.36298832792068,FI,Cropland
Food waste,IE,0.00138067635733473,FI,Cropland
Agriculture,IT,12.4550213362203,FI,Cropland
 -   ,IT,16.8296454097716,FI,Cropland
Food products,IT,59.6241429189252,FI,Cropland
Hotels and restaurants,IT,7.41181089849415,FI,Cropland
Education and health,IT,6.72074130263048,FI,Cropland
Food waste,IT,0.0149313588924778,FI,Cropland
Agriculture,LT,23.4020737246984,FI,Cropland
 -   ,LT,26.3811139964194,FI,Cropland
Food products,LT,54.4187412012221,FI,Cropland
Hotels and restaurants,LT,5.31074338661447,FI,Cropland
Education and health,LT,5.8235798275841,FI,Cropland
Food waste,LT,0.00840991462563402,FI,Cropland
Agriculture,LU,0.38202253470521,FI,Cropland
 -   ,LU,1.94625644001925,FI,Cropland
Food products,LU,0.533759386228722,FI,Cropland
Hotels and restaurants,LU,0.888820343626169,FI,Cropland
Education and health,LU,0.864458250925392,FI,Cropland
Food waste,LU,0.000615952420396638,FI,Cropland
Agriculture,LV,50.1971602805468,FI,Cropland
 -   ,LV,20.1825878040147,FI,Cropland
Food products,LV,75.6532073537253,FI,Cropland
Hotels and restaurants,LV,11.8179574007675,FI,Cropland
Education and health,LV,8.76533670946846,FI,Cropland
Food waste,LV,0.0113219840577209,FI,Cropland
Agriculture,MT,0.00467074803895914,FI,Cropland
 -   ,MT,0.0402652866011475,FI,Cropland
Food products,MT,0.0179340180078956,FI,Cropland
Hotels and restaurants,MT,0.0335908039086414,FI,Cropland
Education and health,MT,0.0272446319340625,FI,Cropland
Food waste,MT,1.773870533635e-05,FI,Cropland
Agriculture,NL,35.868331770747,FI,Cropland
 -   ,NL,5.47378694528288,FI,Cropland
Food products,NL,22.2959151269722,FI,Cropland
Hotels and restaurants,NL,2.38251087469593,FI,Cropland
Education and health,NL,2.08309348367698,FI,Cropland
Food waste,NL,0.00621981319151999,FI,Cropland
Agriculture,PL,20.0209119602513,FI,Cropland
 -   ,PL,33.1263832985861,FI,Cropland
Food products,PL,133.917088457478,FI,Cropland
Hotels and restaurants,PL,14.1976862145031,FI,Cropland
Education and health,PL,12.4125645068195,FI,Cropland
Food waste,PL,0.0264087021256064,FI,Cropland
Agriculture,PT,1.31233019975055,FI,Cropland
 -   ,PT,3.33493349995261,FI,Cropland
Food products,PT,4.86124657928753,FI,Cropland
Hotels and restaurants,PT,2.06680296826634,FI,Cropland
Education and health,PT,1.72060038833185,FI,Cropland
Food waste,PT,0.00236463701145205,FI,Cropland
Agriculture,RO,3.40272171990785,FI,Cropland
 -   ,RO,38.3148839762144,FI,Cropland
Food products,RO,26.0153403265108,FI,Cropland
Hotels and restaurants,RO,5.72932186623256,FI,Cropland
Education and health,RO,8.45641706170355,FI,Cropland
Food waste,RO,0.0444056716469788,FI,Cropland
Agriculture,SE,79.9611754686386,FI,Cropland
 -   ,SE,27.2637276877841,FI,Cropland
